               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.023092,            0.018247,                   0,             0.84475,             0.65954,             0.76363,             0.47565,            0.036086,            0.020577,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.02277,            0.016863,                   0,             0.80757,             0.69944,             0.77445,             0.47986,            0.035998,            0.020758,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.022571,            0.017574,                   0,             0.80936,             0.68187,             0.76645,             0.47491,             0.03611,            0.020839,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.023179,            0.017901,                   0,             0.80864,             0.70606,             0.76807,             0.48017,            0.035994,            0.020575,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.022704,            0.017933,                   0,             0.85505,             0.66142,             0.77396,             0.48478,            0.036581,            0.020525,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.022042,            0.016493,                   0,              0.8073,             0.69825,              0.7758,             0.48424,            0.036526,            0.020225,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.023141,            0.017579,                   0,             0.83796,                 0.7,             0.78652,             0.49124,            0.036545,            0.020494,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.021995,            0.016799,                   0,             0.86011,             0.67073,             0.77627,              0.4855,            0.036452,             0.02061,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.021816,            0.016773,                   0,             0.83119,             0.69394,             0.77609,              0.4842,            0.036297,            0.020819,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.022103,            0.017436,                   0,             0.80176,             0.69091,             0.77277,             0.48396,            0.036367,            0.020786,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.022156,            0.016876,                   0,              0.8323,             0.67678,             0.77413,             0.48213,            0.036645,            0.020755,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.021915,             0.01653,                   0,             0.87178,             0.63939,             0.76609,             0.48365,            0.036588,            0.020712,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.022215,            0.016904,                   0,             0.84434,             0.66667,              0.7581,             0.47504,            0.036855,            0.020848,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.021702,            0.016695,                   0,             0.81643,             0.67576,             0.75552,             0.47649,            0.036552,               0.021,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.021433,             0.01691,                   0,             0.81615,             0.69949,              0.7714,             0.48255,            0.036574,            0.020793,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.022071,            0.018128,                   0,             0.82749,             0.67879,             0.76433,             0.48384,            0.036605,            0.020666,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.021716,            0.017637,                   0,             0.82509,             0.67187,             0.76237,             0.48543,             0.03654,            0.020709,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.021971,            0.017186,                   0,             0.80078,             0.68485,             0.76755,             0.48676,            0.036342,             0.02079,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.021098,            0.016485,                   0,             0.81202,             0.69376,             0.76713,             0.48525,            0.036525,            0.020843,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.020893,            0.016322,                   0,             0.81577,             0.68485,             0.76195,             0.48251,             0.03631,            0.020846,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.021238,             0.01694,                   0,             0.82114,             0.68182,             0.76353,             0.48304,            0.036356,            0.020837,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.02065,             0.01595,                   0,             0.83736,             0.68182,             0.76614,             0.48647,            0.036303,            0.020791,                   0,            0.000298,            0.000298,            0.000298
