                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.67849,                0.41472,                0.95811,                0.60908,                0.31161,                0.38094,                0.27161,                    nan,                    nan,                    nan,              0.0001189,              0.0001189,              0.0001189
                     92,                0.61703,                0.37471,                0.90981,                0.53801,                0.32113,                0.38818,                0.27849,                    nan,                    nan,                    nan,               0.000109,               0.000109,               0.000109
                     93,                0.62296,                0.39229,                0.90977,                0.64098,                0.30303,                0.38939,                0.28651,                    nan,                    nan,                    nan,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.61481,                0.39074,                0.90319,                0.61968,                0.30909,                0.39409,                0.29057,                    nan,                    nan,                    nan,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.59199,                0.35885,                 0.8957,                0.65244,                0.30606,                0.39347,                0.28714,                    nan,                    nan,                    nan,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.58284,                0.35619,                0.89297,                0.61871,                0.30303,                0.39122,                0.28247,                    nan,                    nan,                    nan,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.56458,                0.35177,                 0.8919,                0.60405,                 0.3005,                0.38171,                0.27386,                    nan,                    nan,                    nan,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.56718,                0.35264,                0.88662,                0.64043,                0.29685,                0.39062,                0.27876,                    nan,                    nan,                    nan,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.59207,                0.35162,                0.90707,                0.56745,                0.31212,                0.39821,                0.28651,                    nan,                    nan,                    nan,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.57643,                0.35921,                0.91326,                0.57817,                0.31515,                0.40007,                0.29105,                    nan,                    nan,                    nan,               2.98e-05,               2.98e-05,               2.98e-05
