               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,              0.0258,           0.0085768,                   0,             0.90442,             0.90988,             0.93783,             0.48095,            0.025512,           0.0034561,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024323,           0.0084466,                   0,             0.91566,             0.88462,             0.89668,             0.49292,            0.025389,           0.0034225,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.024251,           0.0086571,                   0,             0.91957,             0.87957,             0.91292,             0.47636,            0.024913,            0.003588,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.024286,           0.0090122,                   0,             0.88596,             0.89649,             0.89656,             0.47214,            0.025454,           0.0036669,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.024303,            0.008771,                   0,              0.8792,             0.83986,             0.87395,             0.46202,            0.025486,           0.0037351,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.024628,           0.0087222,                   0,             0.86133,             0.88462,             0.87016,             0.48381,              0.0239,           0.0039603,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.023746,           0.0081507,                   0,             0.91552,             0.90385,             0.90057,             0.49118,            0.025213,           0.0035445,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.024306,           0.0082918,                   0,             0.93066,             0.84615,             0.91504,             0.49849,             0.02454,           0.0038457,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023684,           0.0085531,                   0,             0.95098,             0.88462,             0.91503,             0.47601,            0.024965,           0.0038241,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.023295,           0.0080993,                   0,             0.93238,             0.88462,             0.90575,             0.47148,            0.024382,           0.0034001,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.023082,           0.0084296,                   0,              0.8997,             0.90385,             0.88724,             0.46455,            0.024773,            0.003416,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.023334,           0.0081717,                   0,             0.91575,             0.88462,              0.8832,             0.45758,             0.02335,            0.003519,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.023208,           0.0082633,                   0,             0.93254,             0.88462,             0.90022,             0.49197,            0.022916,           0.0035102,                   0,            0.002773,            0.002773,            0.002773
